"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30" "nef_40" "nef_50" "nef_60" "nef_70" "nef_80" "nef_90" "nef_100" "nef_110" "nef_120" "nef_130" "nef_140" "nef_150" "nef_160" "nef_170" "nef_180" "nef_190" "nef_200"
1 0.603835978835979 0.603835978835979 0.603835978835979 0.607005291005291 0.610174603174603 0.607005291005291 0.607005291005291 0.613343915343916 0.607005291005291 0.613343915343916 0.607005291005291 0.616513227513228 0.626021164021164 0.607005291005291 0.616513227513228 0.61968253968254 0.622851851851852 0.613343915343916 0.626021164021164 0.61968253968254 0.61968253968254 0.61968253968254 0.622851851851852 0.645037037037037 0.629190476190476 0.641867724867725 0.635529100529101 0.648206349206349 0.648206349206349 0.641867724867725 0.66405291005291 0.673560846560847 0.689407407407408 0.740116402116402 0.73694708994709 0.749624338624339 0.771809523809524 0.762301587301587 0.819349206349206 0.816179894179894 0.80984126984127 0.813010582010582 0.838365079365079 0.816179894179894 0.835195767195767 0.860550264550265 0.89858201058201
2 0.839261363636363 0.839261363636363 0.837954545454545 0.837954545454545 0.836647727272727 0.845795454545454 0.831420454545454 0.839261363636363 0.836647727272727 0.828806818181818 0.837954545454545 0.826193181818182 0.832727272727273 0.828806818181818 0.828806818181818 0.819659090909091 0.826193181818182 0.824886363636364 0.826193181818182 0.814431818181818 0.819659090909091 0.817045454545455 0.811818181818182 0.823579545454545 0.822272727272727 0.810511363636364 0.813125 0.807897727272727 0.811818181818182 0.830113636363636 0.79875 0.800056818181818 0.806590909090909 0.813125 0.803977272727273 0.820965909090909 0.811818181818182 0.810511363636363 0.832727272727273 0.811818181818182 0.817045454545454 0.831420454545454 0.814431818181818 0.843181818181818 0.862784090909091 0.858863636363636 0.875852272727273
3 0.518967661691542 0.528834991708126 0.506633499170812 0.523901326699834 0.511567164179104 0.523901326699834 0.528834991708126 0.541169154228856 0.548569651741293 0.573237976782753 0.553503316749585 0.548569651741293 0.543635986733002 0.560903814262023 0.583105306799337 0.551036484245439 0.583105306799337 0.565837479270315 0.585572139303483 0.580638474295191 0.580638474295191 0.60530679933665 0.575704809286899 0.588038971807629 0.59297263681592 0.627508291873964 0.595439469320067 0.565837479270315 0.642309286898839 0.61764096185738 0.625041459369818 0.686712271973466 0.657110281923715 0.662043946932007 0.674378109452736 0.718781094527363 0.765650912106136 0.743449419568822 0.750849917081261 0.748383084577114 0.75084991708126 0.78785240464345 0.780451907131012 0.782918739635157 0.827321724709785 0.817454394693201 0.812520729684909
4 0.72262118491921 0.72262118491921 0.72262118491921 0.733716337522442 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.733716337522442 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.755906642728905 0.72262118491921 0.72262118491921 0.72262118491921 0.733716337522442 0.733716337522442 0.72262118491921 0.733716337522442 0.733716337522442 0.744811490125673 0.733716337522442 0.733716337522442 0.72262118491921 0.733716337522442 0.744811490125673 0.744811490125673 0.72262118491921 0.744811490125673 0.755906642728905 0.744811490125673 0.778096947935368 0.755906642728905 0.767001795332136 0.800287253141831 0.767001795332137 0.744811490125673 0.800287253141831 0.811382405745063 0.7891921005386 0.822477558348295 0.778096947935368 0.833572710951526 0.7891921005386
5 0.519188405797102 0.570968115942029 0.58576231884058 0.578365217391305 0.600556521739131 0.593159420289855 0.622747826086957 0.600556521739131 0.630144927536232 0.630144927536232 0.630144927536232 0.667130434782609 0.652336231884058 0.630144927536232 0.667130434782609 0.689321739130435 0.711513043478261 0.68192463768116 0.68192463768116 0.69671884057971 0.674527536231884 0.667130434782609 0.726307246376812 0.69671884057971 0.68192463768116 0.704115942028986 0.69671884057971 0.718910144927536 0.711513043478261 0.689321739130435 0.748498550724638 0.718910144927536 0.689321739130435 0.652336231884058 0.704115942028986 0.68192463768116 0.711513043478261 0.652336231884058 0.704115942028986 0.755895652173913 0.718910144927536 0.726307246376812 0.755895652173913 0.79288115942029 0.785484057971015 0.741101449275363 0.763292753623188
6 0.655985037406484 0.667082294264339 0.662643391521197 0.660423940149626 0.667082294264339 0.662643391521197 0.662643391521197 0.658204488778055 0.655985037406484 0.658204488778055 0.653765586034913 0.675960099750624 0.673740648379053 0.66930174563591 0.658204488778055 0.653765586034913 0.675960099750624 0.662643391521197 0.675960099750624 0.675960099750624 0.675960099750624 0.68927680798005 0.68927680798005 0.660423940149626 0.682618453865337 0.680399002493766 0.671521197007481 0.673740648379053 0.682618453865337 0.671521197007481 0.680399002493766 0.707032418952619 0.722568578553616 0.738104738154614 0.766957605985037 0.773615960099751 0.800249376558604 0.795810473815462 0.804688279301746 0.802468827930175 0.79359102244389 0.822443890274314 0.860174563591023 0.860174563591023 0.882369077306733 0.877930174563591 0.862394014962594
7 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.822528735632184 0.815134099616858 0.822528735632184 0.82992337164751 0.815134099616858 0.82992337164751 0.815134099616858 0.822528735632184 0.815134099616858 0.815134099616858 0.815134099616858 0.822528735632184 0.822528735632184 0.822528735632184 0.822528735632184 0.822528735632184 0.829923371647509 0.82992337164751 0.815134099616858 0.815134099616858 0.837318007662835 0.822528735632184 0.859501915708812 0.815134099616858 0.822528735632184 0.822528735632184 0.815134099616858 0.822528735632184 0.837318007662835 0.852107279693486 0.844712643678161 0.852107279693487 0.837318007662835 0.859501915708812 0.852107279693487 0.866896551724138 0.881685823754789 0.896475095785441 0.903869731800766 0.977816091954023 0.955632183908046 0.992605363984674
8 0.62962962962963 0.625925925925926 0.62962962962963 0.655555555555556 0.659259259259259 0.655555555555555 0.644444444444444 0.692592592592593 0.674074074074074 0.666666666666667 0.725925925925926 0.711111111111111 0.688888888888889 0.703703703703703 0.72962962962963 0.722222222222222 0.740740740740741 0.737037037037037 0.692592592592592 0.77037037037037 0.748148148148148 0.722222222222222 0.72962962962963 0.718518518518518 0.751851851851852 0.751851851851852 0.748148148148148 0.733333333333333 0.766666666666667 0.72962962962963 0.759259259259259 0.755555555555555 0.759259259259259 0.759259259259259 0.825925925925926 0.781481481481481 0.8 0.825925925925926 0.781481481481481 0.833333333333333 0.796296296296296 0.818518518518518 0.833333333333333 0.829629629629629 0.818518518518518 0.881481481481482 0.848148148148148
9 0.534567901234568 0.537037037037037 0.535185185185185 0.54320987654321 0.549382716049383 0.55679012345679 0.551234567901234 0.557407407407407 0.549382716049383 0.543827160493827 0.57283950617284 0.567283950617284 0.556172839506173 0.596913580246913 0.59320987654321 0.569753086419753 0.593827160493827 0.606172839506173 0.605555555555556 0.603086419753086 0.596296296296296 0.591358024691358 0.62962962962963 0.653086419753086 0.603086419753086 0.619753086419753 0.619135802469136 0.633950617283951 0.614197530864197 0.621604938271605 0.689506172839506 0.728395061728395 0.762345679012346 0.824691358024691 0.796296296296296 0.867283950617284 0.848148148148148 0.877777777777778 0.887037037037037 0.90679012345679 0.919753086419753 0.911728395061729 0.937654320987654 0.937037037037037 0.946913580246914 0.958641975308642 0.959876543209876
10 0.639438757807079 0.63329718945177 0.63764746703678 0.637135669673838 0.63969465648855 0.645324427480916 0.632273594725885 0.645836224843858 0.646859819569743 0.648395211658571 0.648139312977099 0.644300832755031 0.640974149895906 0.64199774462179 0.643021339347675 0.640206453851492 0.654280881332408 0.647627515614157 0.659398854961832 0.651977793199167 0.642509541984733 0.657607564191534 0.657607564191534 0.646348022206801 0.649162907702984 0.648139312977099 0.649418806384455 0.639950555170021 0.663749132546842 0.662725537820958 0.659142956280361 0.68038254684247 0.675264573213047 0.706228313671062 0.694456974323386 0.700342643997224 0.717231956974324 0.717743754337266 0.730026891047883 0.727467904233172 0.744101318528799 0.73130638445524 0.732585877862595 0.755360860513532 0.762781922276197 0.767899895905621 0.766108605135323
